,one,two,three,four,key
0,0.496714,-0.138264,0.647689,1.523030,G
1,-0.916827,-0.124147,-2.010963,-0.492803,H
2,-0.580878,-0.525170,-0.571380,-0.924083,V
3,-2.439106,0.603441,-0.251044,-0.163867,S
4,0.142465,-0.034652,1.134339,-0.104746,G
5,-0.600254,0.947440,0.291034,-0.635560,O
6,0.948843,1.580851,-0.368171,0.375565,Q
7,0.822545,-1.220844,0.208864,-1.959670,J
8,-0.461466,0.066657,-0.176286,1.200893,J
9,0.218638,0.881761,-1.009085,-1.583294,R
10,2.340746,1.070985,0.096416,0.419102,M
11,0.324084,-0.385082,-0.676922,0.611676,X
12,0.930584,0.677767,0.698440,0.173602,Z
13,-1.508153,1.099647,-0.177732,-0.410383,X
14,0.950005,1.726516,0.457885,-1.684287,C
15,0.361636,-0.645120,0.361396,1.538037,N
16,3.372296,-0.920391,-0.398638,-0.060864,M
17,0.150489,-0.113421,2.633528,-1.025091,D
18,-0.219672,0.357113,1.477894,-0.518270,D
19,0.135754,0.608090,0.704981,0.360923,J
20,0.501448,1.158187,0.257117,0.314513,L
21,0.962641,-0.209692,-0.774043,-0.359778,Y
22,-0.702053,-0.327662,-0.392108,-1.463515,T
23,-1.349390,-1.019073,0.127012,-1.249444,E
24,-1.096266,0.914884,-0.666061,-0.513787,X
25,-0.943057,1.403959,-0.018551,-1.673505,Q
26,-0.441766,-0.084165,1.237016,-1.426479,B
27,-2.498759,1.480329,2.158729,1.231778,W
28,-0.775336,0.773141,-0.801828,1.384016,T
29,-0.045403,0.216937,0.512424,0.543489,I
30,-0.990536,-0.566298,0.099651,-0.503476,D
31,0.009144,-0.365539,0.649087,-1.222874,T
32,-0.143462,0.617004,1.248941,0.065649,K
33,-0.783253,-0.322062,0.813517,-1.230864,Z
34,0.013034,0.377770,0.062825,0.501596,W
35,-1.236951,-1.320457,0.521942,0.296985,X
36,0.920667,-0.226722,0.653048,1.102687,C
37,0.566894,-0.164500,-0.142991,-1.934570,C
38,-1.191303,0.656554,-0.974682,0.787085,U
39,-0.462527,-1.112497,0.867229,0.958414,A
40,0.634240,3.061095,-1.318570,0.720387,F
41,-0.011443,0.413354,-0.140899,0.872162,U
42,2.734422,0.093765,-1.406405,-0.034530,P
43,-1.070892,0.482472,-0.223463,0.714000,I
44,-0.127605,0.341591,2.118886,1.546537,A
45,-0.217457,-0.475257,-0.609373,-0.813521,C
46,0.214094,-1.245739,0.173181,0.385317,H
47,-1.147720,1.389603,-0.855241,-1.027062,Z
48,0.872447,1.066199,-0.959008,1.382005,J
49,0.515035,0.513786,0.515048,3.852731,M
50,-0.555945,-0.127735,-1.560557,2.000348,V
51,-0.913413,-0.455033,-0.412762,0.595644,J
52,-0.471932,1.088951,0.064280,-1.077745,U
53,1.210399,-0.151236,-0.374522,-1.291216,C
54,1.363435,0.828766,0.015143,0.442074,S
55,-0.661786,0.852433,-0.792521,-0.114736,E
56,1.781291,-0.677416,-1.548829,-0.343129,V
57,0.945382,1.266407,0.377296,1.651351,V
58,-1.183573,0.228970,-0.339386,-0.815271,E
59,-0.280655,-0.603976,-0.549253,1.096796,E
60,1.632411,-1.430141,-0.440044,0.130741,J
61,0.058509,2.347997,0.404976,0.909738,D
62,0.567768,0.148182,1.172436,0.531400,L
63,1.586017,-1.237815,2.133033,-1.952088,E
64,1.137017,0.446890,-1.144949,0.591316,M
65,-0.545038,-1.267382,0.110300,-0.430025,W
66,-0.208122,-0.493001,-0.589365,0.849602,D
67,-1.042961,1.326472,0.448649,-0.078732,D
68,0.551737,-0.710128,-1.787672,-1.220570,G
69,1.043676,0.228979,-1.534065,0.363070,W
70,0.825416,0.813510,1.305479,0.021004,V
71,-0.589653,-0.298301,-0.411291,0.984024,N
72,-0.200205,2.024721,-0.853260,-0.014281,E
73,-1.006017,-1.214189,1.158111,0.791663,W
74,-0.342589,0.249315,0.324518,1.675293,K
75,0.613841,1.357881,-0.433303,0.203823,R
76,-1.581654,0.079009,1.060692,0.237485,V
77,-0.718444,-0.213447,0.310908,1.475356,J
78,-0.302324,-0.004563,-0.682343,-0.048195,H
79,0.322719,-0.827231,0.519347,1.532739,Y
80,-1.445610,-0.844137,-0.343201,0.457676,F
81,-1.896747,0.599093,-0.168071,0.285175,S
82,0.024510,0.497998,1.451144,0.959271,A
83,1.200412,1.816088,-0.110932,0.976309,U
84,-0.839722,-0.599393,-2.123896,-0.525755,R
85,-0.798235,-1.337845,-0.323373,-1.660117,Q
86,-0.645322,-1.600611,-1.514575,0.679660,M
87,-1.320233,1.831459,1.179440,-0.469176,O
88,0.295478,-1.097346,0.340922,-0.086414,Q
89,-0.114540,1.237816,-1.594428,-0.599375,P
90,0.218683,-0.484376,1.638860,0.225235,C
